,media,mediana,moda,variancia,desvio_padrao,skewness,kurtosis
Temperatura,19.56,19.7,21.8,12.34,3.51,-0.22,-0.28
Precipitacao,3.76,0.2,0.0,91.91,9.59,4.84,39.94
Umidade,82.07,83.9,100.0,120.07,10.96,-0.99,1.33
Vento,1.96,1.8,1.6,0.41,0.64,0.95,1.41
